gender,age,resident,Marriage,Education,Employment,Income,Heathstatus,Chronic disease,whether had COVID-19,cognitiverisk,personalFear,misInformation,trust central Government,trust local Government,social fear,panic Buying,social support,trust health experts,trust health Authorities,trust medical Resource,trust health worker,Pandemic fatigue,cognitive dissonance
0,48,1,2,5,1,3,4,1,2,3,4,2,3,3,2.5,0,4,3,3,3.25,4,7,5
1,60,1,2,4,1,5,4,2,2,3,4,2,3,3,3.75,1,3,2,2,3,4,10,2
0,57,0,2,3,3,3,2,1,2,3,5,2,5,4,3.25,1,4,3,4,2.75,4,0,10
0,28,1,2,4,1,3,3,1,2,5,4,2,3,2,2.25,0,3,1,2,3,4,0,1
0,69,1,2,4,5,3,4,3,2,3,3,2,4,4,2.25,1,3,3,3,3,4,3,2
1,42,0,2,2,3,1,2,3,2,5,4,2,5,5,1.75,0,2,3,4,3.25,5,2,5
1,54,0,2,2,1,1,2,3,2,2,3,1,4,4,1.75,0,2,4,4,2.5,2,4,5
0,44,1,2,4,1,1,3,1,1,3,3,2,3,5,2,0,4,2,3,2.25,4,8,2
1,48,1,2,4,1,4,5,1,2,4,5,3,5,5,1.25,1,5,3,3,3.25,5,0,0
1,41,1,3,3,2,3,3,2,2,4,5,2,3,3,2,1,1,2,2,1.75,3,6,10
1,40,0,3,2,2,4,4,1,2,2,1,2,3,1,3.25,0,1,1,1,1,3,10,0
0,40,1,2,4,1,5,4,2,2,1,2,2,1,1,3.25,1,3,1,1,1.75,4,10,1
0,70,1,2,4,5,3,3,2,2,3,4,1,1,1,3.5,0,5,1,1,2.75,4,10,1
0,66,1,2,3,5,3,4,1,2,2,3,2,3,3,2.75,0,3,3,3,2.5,3,0,0
1,39,1,2,5,1,5,3,2,2,3,2,2,2,3,2,0,3,2,2,2.5,3,8,0
0,45,1,2,4,1,3,2,3,2,4,5,2,3,3,3,1,3,3,3,3,3,0,2
0,53,1,2,3,5,1,5,1,2,1,1,1,1,1,1,0,1,1,1,1,1,0,0
0,65,1,2,3,5,1,3,1,2,3,5,2,4,2,3.5,0,4,2,2,2,2,2,2
1,37,1,2,5,1,4,5,1,2,4,5,2,3,3,4.25,1,5,1,1,3.5,3,10,6
1,59,0,2,2,2,1,3,1,1,1,1,1,5,4,1.75,0,3,1,3,2.5,4,0,10
1,75,0,2,4,5,3,3,2,2,3,3,2,4,4,2.5,0,2,3,4,2.25,4,0,0
0,29,1,2,4,1,1,4,1,2,3,4,2,5,5,2.25,0,5,4,5,3,5,0,0
0,66,1,2,2,5,2,4,1,2,3,5,2,4,4,2.25,1,5,2,3,2.5,4,0,10
0,45,0,2,4,1,3,3,1,2,5,3,2,3,4,2.75,0,3,3,3,3,3,7,2
0,30,0,2,4,1,2,3,2,2,4,4,2,4,3,2.25,1,3,3,3,3,3,10,0
0,34,1,3,1,1,1,5,2,2,3,4,2,3,3,3,1,3,3,3,3,3,10,6
0,22,1,1,4,4,1,3,1,2,3,4,2,3,3,3,0,3,3,3,3,3,0,0
1,65,1,2,4,5,3,4,1,2,3,3,1,3,3,3,0,3,2,2,1.75,3,2,2
1,24,1,1,5,4,1,4,1,2,1,3,2,2,4,3.5,1,3,4,4,2.75,1,2,1
0,23,0,1,4,4,1,4,1,2,3,5,2,3,3,2.5,0,3,3,3,3,3,7,5
0,44,1,2,4,3,5,3,2,2,3,4,2,3,3,3,1,3,3,2,2.25,4,0,4
1,18,1,1,4,4,4,5,1,2,3,3,2,5,5,1.25,0,5,5,5,4,5,0,0
0,22,1,1,4,4,3,3,1,2,3,3,2,3,3,3.5,0,3,3,3,3,3,4,4
0,36,1,3,5,1,4,4,1,2,3,5,2,4,4,3,1,4,4,4,3,4,4,4
0,59,1,2,2,5,2,5,1,1,1,5,2,5,5,1.75,0,4,3,4,3,5,0,0
0,50,1,2,4,1,3,3,2,2,4,3,2,3,3,3.5,1,3,3,3,3,3,0,2
1,48,1,2,4,2,2,4,2,2,2,5,2,3,3,3.25,0,4,2,3,2.5,3,6,6
0,35,1,2,4,1,1,4,1,2,3,2,1,4,4,2.25,0,1,4,4,1,4,0,0
0,31,1,2,4,1,3,5,1,2,2,3,2,4,4,3.25,1,5,3,4,3.5,4,0,7
1,48,1,2,4,1,4,4,2,1,2,3,2,3,3,2.25,1,4,2,2,2.5,4,2,1
0,35,1,2,2,2,1,4,1,1,3,1,2,3,3,3,1,3,3,3,3,3,0,0
0,47,1,3,3,1,2,3,1,2,2,2,2,3,4,2.5,1,4,3,4,3.5,4,10,1
0,50,1,2,3,5,2,4,1,1,3,1,2,4,4,3,0,3,1,3,1.5,3,10,0
0,32,1,2,5,1,4,4,1,1,4,4,2,5,5,2.5,0,3,4,4,3.25,5,4,2
0,47,1,2,4,1,3,4,2,2,3,2,1,3,3,3.25,1,4,2,1,1.5,4,6,2
0,46,1,2,3,2,3,4,1,1,1,3,2,5,5,1.75,0,4,3,4,3,5,2,2
0,48,1,2,4,1,3,3,2,2,3,4,2,3,3,2.5,0,4,3,3,2.5,3,2,8
0,50,1,2,3,1,1,3,2,2,4,4,2,3,3,3,1,3,3,4,2.5,4,1,1
0,65,0,2,3,5,2,1,2,2,4,5,2,3,4,3.25,1,4,3,3,3,4,10,4
1,23,1,1,4,1,3,4,1,2,1,1,1,5,1,2,0,2,1,1,2,1,6,0
1,29,1,2,2,2,2,3,1,1,4,4,2,3,3,3.75,1,3,1,3,1.75,3,6,2
0,21,0,2,3,3,1,2,2,1,1,2,3,4,4,2.75,1,3,4,4,4,4,7,6
0,75,1,2,3,5,1,5,1,2,1,1,1,5,5,1,0,5,4,5,4.5,5,0,0
1,25,1,1,4,1,3,5,1,2,2,4,2,4,3,3.75,1,4,2,3,3.25,3,10,2
0,42,1,2,4,2,4,4,2,2,3,3,2,4,4,2.25,1,4,4,4,3.75,4,6,4
1,18,1,1,5,1,4,5,1,2,3,1,2,3,3,3,0,3,3,3,3,3,10,2
1,25,1,1,3,1,1,1,3,2,4,3,2,1,1,3.75,0,3,1,1,2.75,4,10,0
0,68,1,3,2,5,1,3,3,2,4,5,2,3,3,4.25,0,4,3,2,1.75,3,6,4
1,46,1,2,4,1,3,4,3,2,3,4,3,4,3,1.75,1,4,3,3,3.25,4,2,2
1,30,0,1,4,1,5,4,1,2,3,5,2,5,3,3,1,4,1,3,1,4,2,5
0,48,1,2,4,1,4,4,2,2,3,2,2,3,3,3.25,1,4,1,1,3,3,10,0
0,47,1,2,4,1,3,3,3,2,4,4,3,5,5,1,0,4,5,5,3.25,5,6,10
1,38,1,2,3,2,3,4,1,2,5,3,2,4,4,2.75,0,3,3,3,2.75,3,6,6
1,18,1,1,4,4,4,4,1,1,1,1,1,1,3,1.75,0,1,3,3,3,3,0,0
0,20,1,1,4,4,4,5,1,1,2,4,2,3,3,3,1,3,3,3,3,3,8,8
0,18,1,1,3,4,4,3,2,2,3,4,2,3,4,2.25,0,3,3,3,3,3,8,6
1,45,1,2,2,2,1,2,2,2,3,2,2,3,3,3.25,0,1,1,3,1.5,3,10,8
1,18,1,1,4,4,5,5,1,2,2,1,2,2,3,1.5,0,4,2,2,2.5,4,9,0
1,19,1,1,4,4,1,5,1,1,1,1,2,5,5,1,0,1,5,5,5,5,4,4
1,18,1,1,3,4,3,4,1,2,3,3,2,3,3,3,0,3,3,3,3,3,2,2
1,18,1,1,4,4,4,4,1,2,3,3,2,3,3,3,0,1,3,3,3,3,5,7
0,18,1,1,3,4,4,3,1,2,2,2,2,3,3,2.5,1,3,3,3,3,3,0,1
0,18,0,1,3,4,3,3,1,2,3,4,2,3,3,3.25,1,3,3,3,3,3,7,5
0,18,0,1,3,4,1,5,1,2,3,3,2,3,3,3,1,3,3,3,3,3,2,2
1,20,1,1,4,1,3,3,1,2,3,4,2,1,2,2.75,0,5,1,1,3,4,1,1
1,18,1,1,3,4,5,5,1,1,2,4,2,4,4,2.25,0,4,4,4,4,4,9,1
0,19,0,1,4,4,3,5,1,2,2,4,2,4,4,2,0,5,3,3,4,4,0,0
0,73,1,2,2,5,2,4,2,2,3,4,3,5,5,2,0,4,5,3,3,4,0,10
1,70,1,2,2,5,2,3,1,1,5,5,3,4,3,2.75,0,5,4,4,3.5,4,9,4
0,18,1,1,4,1,4,4,1,2,3,4,2,4,4,3.25,1,3,4,4,3.75,4,10,0
0,48,1,2,3,1,3,3,1,1,3,2,2,3,3,2.75,0,3,2,2,2.75,4,9,2
1,34,1,3,4,1,3,3,2,2,4,4,2,3,3,2.75,1,4,3,2,3,4,10,7
0,50,1,2,3,1,4,5,1,2,4,3,2,4,4,2.25,1,4,4,3,3.25,4,9,0
0,48,1,2,4,1,5,4,1,1,3,4,2,4,4,2,1,4,3,3,3.25,4,8,3
1,60,1,2,4,1,2,4,3,2,3,2,2,4,3,3.25,0,4,3,3,3,3,8,4
0,46,1,2,4,1,3,3,1,1,3,5,3,4,4,1.75,0,5,4,4,4,4,9,0
0,35,1,2,4,1,2,4,1,1,3,1,2,4,3,1.25,0,4,3,3,2.25,4,10,0
1,26,1,1,4,1,5,4,1,2,3,2,2,5,5,2.75,0,1,4,4,3,5,3,0
0,49,1,2,4,1,2,3,3,2,4,5,2,4,3,3.25,0,4,3,3,3,3,2,2
1,63,1,2,3,5,2,3,2,2,3,3,1,4,4,3,0,4,3,4,2,4,0,2
0,19,1,1,4,4,4,3,1,2,3,3,2,3,3,3,0,3,4,3,3,3,4,4
0,48,1,2,4,1,3,4,2,2,4,4,2,4,4,2.75,1,5,4,4,2.75,4,0,6
0,50,1,2,2,5,1,4,1,2,3,1,2,1,5,1,0,1,2,3,4,2,1,1
1,32,1,1,4,1,4,5,1,2,1,4,2,1,1,4,1,3,2,1,2,3,8,0
0,49,1,2,3,2,1,3,1,2,4,4,2,5,3,2.25,0,4,3,3,2.5,3,1,1
1,66,1,2,4,5,4,4,2,1,3,2,2,4,4,2,0,4,3,3,3,3,0,2
1,52,1,2,4,1,4,4,1,2,3,2,1,3,3,2.25,0,3,3,3,2.5,3,10,0
1,52,0,2,3,3,2,4,2,2,1,1,1,3,3,1.5,0,1,3,3,2.5,3,0,0
1,28,0,1,4,1,3,3,1,2,3,3,2,4,4,1.75,0,3,2,3,3.25,3,0,0
0,59,1,2,3,5,4,4,1,2,3,5,2,5,4,2.75,1,3,3,3,2.75,4,5,6
0,48,1,2,4,1,2,5,1,2,2,3,2,5,5,1,1,4,5,5,4.25,5,0,0
1,50,1,2,3,1,3,4,1,2,3,2,2,5,4,2.5,1,2,3,3,3,4,9,5
0,66,1,2,3,5,2,4,3,2,3,3,2,3,3,2.5,0,3,3,3,3,3,0,0
0,45,1,2,4,1,3,3,1,2,4,4,2,3,3,3,1,4,3,3,3,3,6,8
1,48,1,2,4,1,3,4,1,2,3,3,2,3,3,2,0,3,3,3,3,3,2,1
0,48,1,2,4,1,3,3,2,2,3,2,1,4,5,3,0,3,5,4,3.25,4,6,6
1,57,1,2,3,1,2,4,1,2,3,4,2,5,5,1.25,0,4,4,4,4,4,0,2
0,50,1,2,3,2,3,4,1,2,2,4,2,4,4,2.25,1,4,4,3,3.25,4,0,2
0,52,1,2,4,1,2,3,2,2,4,5,2,4,4,3,1,3,1,3,1,4,8,8
0,57,0,2,3,2,5,4,1,2,1,2,2,4,3,2.5,1,3,3,1,2,4,2,2
1,28,1,1,4,1,2,4,1,2,3,3,1,2,3,4,0,4,2,2,3,3,5,6
0,28,0,1,4,2,3,5,1,2,1,3,2,3,2,3.5,1,4,3,3,4,4,8,4
0,47,1,2,3,2,2,5,1,2,2,3,2,4,4,2.75,0,5,3,3,2.75,3,0,0
0,46,1,2,2,2,3,5,1,1,2,2,1,5,5,1,0,3,3,3,2.5,4,0,0
0,57,0,2,3,2,5,5,1,2,3,2,2,3,3,2.5,1,3,3,1,1.5,3,1,1
1,18,1,1,3,4,1,5,1,2,3,1,3,5,5,1,0,5,5,5,4.75,5,0,0
1,50,1,2,4,1,5,5,1,2,1,1,1,5,5,2.75,0,3,5,5,3.5,5,0,0
0,46,1,2,4,5,3,2,2,2,4,4,2,3,3,3.25,1,4,1,2,1.25,4,1,0
0,45,0,2,4,1,4,4,1,1,3,5,2,5,5,2.75,1,3,5,5,3,5,0,6
1,53,1,2,3,5,1,2,3,3,3,3,2,3,4,2.75,0,4,3,3,3,3,0,0
0,57,1,2,3,5,3,5,2,2,1,1,2,5,5,2,0,5,3,3,2.5,4,0,0
0,33,1,2,2,3,2,3,3,2,4,4,2,5,5,1,0,1,4,4,3.75,4,0,0
0,30,1,2,4,1,5,3,2,2,3,3,2,2,2,3.25,0,3,2,1,2.75,4,2,4
1,28,1,2,5,1,3,4,1,2,3,4,2,3,2,3,0,4,2,2,3,4,8,6
0,54,0,2,1,5,1,4,2,2,3,1,2,5,5,2,0,4,5,5,5,5,0,0
1,56,0,2,2,2,2,4,2,2,3,2,2,4,4,2.25,0,4,4,3,3.25,4,1,0
1,50,1,2,4,1,2,4,1,2,2,3,2,3,3,3.25,0,4,2,4,3,3,5,5
0,55,1,2,3,5,2,1,2,2,4,4,3,4,4,3.25,0,4,3,3,3.25,4,2,10
1,18,1,1,3,4,5,4,1,2,3,4,2,4,4,2.5,0,2,3,4,3,5,4,1
0,50,0,2,2,5,1,4,1,2,3,4,2,5,5,2.25,0,3,3,3,4,5,0,10
0,27,1,1,4,1,3,4,1,2,3,4,2,3,4,3.5,1,4,3,4,3.75,4,7,4
0,71,1,2,3,5,1,4,2,2,3,3,2,4,4,1.75,0,4,4,4,4,4,0,2
1,41,1,2,5,1,5,3,1,1,2,3,1,4,4,2.5,0,4,1,3,3,4,0,0
1,65,1,2,3,5,1,3,2,2,3,4,2,3,3,3,0,3,2,3,2,4,2,1
1,36,1,2,4,1,5,4,1,2,3,1,2,4,4,3,1,5,4,4,4,4,10,0
0,22,1,1,4,4,2,4,1,2,3,4,2,4,5,2.5,1,4,3,2,3.75,4,8,5
1,28,0,1,4,1,2,3,2,2,3,3,2,4,4,2.25,1,4,4,3,3,4,6,4
0,27,0,1,4,1,4,4,1,2,2,4,3,4,5,2.5,1,4,3,3,3.25,5,0,2
1,28,1,2,4,1,3,3,2,2,3,4,3,4,3,1.5,0,3,3,4,3.5,4,10,0
0,67,1,2,2,5,1,2,3,2,3,3,2,3,3,2.75,0,3,2,3,2.25,3,8,8
1,36,1,2,4,1,2,4,2,2,4,4,2,3,3,3.5,1,2,3,3,3,3,2,2
0,23,0,1,4,4,1,4,1,2,2,4,2,4,4,3,0,4,4,4,4,4,9,6
0,35,1,2,2,2,2,4,1,2,3,4,2,4,5,2.5,0,4,4,4,3.75,4,0,1
0,42,1,2,5,1,3,4,1,2,3,3,2,1,1,3.25,0,5,2,2,1,2,10,0
0,22,1,1,4,4,4,4,1,2,3,3,2,5,5,3,1,4,4,4,4,5,8,6
1,53,0,2,2,2,3,2,3,2,4,4,3,2,2,3.75,0,5,2,2,1,2,7,8
0,73,0,2,1,5,4,3,1,2,3,3,3,2,2,4,0,3,2,2,2.5,2,9,8
0,28,1,1,5,1,2,3,1,2,4,4,2,3,3,3.5,0,4,2,3,1.75,4,2,2
1,33,1,1,5,2,5,3,3,2,4,2,2,3,3,3.5,0,3,2,1,1,2,10,0
1,23,0,1,4,4,2,3,1,2,2,4,2,4,4,2.25,0,4,3,3,3,3,2,2
1,31,0,2,3,2,1,4,1,2,3,5,2,4,3,3.75,1,2,3,3,3,4,0,8
1,27,1,1,5,1,3,4,1,1,2,4,2,3,2,2,0,3,3,2,1.5,4,7,0
0,35,1,2,3,1,3,4,1,2,3,4,2,3,3,1.75,0,1,3,3,3,3,2,4
1,32,1,2,5,1,2,4,3,2,2,3,3,1,2,3.25,0,3,1,1,1,3,8,10
1,23,0,1,4,1,2,4,1,2,3,3,2,4,4,1.75,1,3,4,4,3,4,4,1
0,31,1,2,4,3,3,4,1,2,3,5,2,4,4,1.75,0,4,3,3,3.5,4,8,2
0,22,1,1,4,1,2,4,1,2,3,5,3,4,4,2,0,4,4,4,4,4,8,5
1,23,1,1,4,3,3,3,1,2,2,3,1,1,1,2.5,0,3,1,1,1,1,10,0
0,59,1,2,4,5,2,4,2,2,2,4,2,4,4,2,1,4,3,4,3,4,0,0
0,31,0,2,5,1,2,4,1,2,3,4,2,4,4,3,0,4,3,3,3,3,0,0
1,22,1,1,4,4,2,4,1,2,2,5,2,5,5,3.75,0,3,4,4,4,5,1,4
1,57,1,2,4,1,4,4,1,2,2,5,2,4,4,3,1,5,3,3,3,3,0,8
1,37,0,2,2,1,1,4,3,2,3,3,2,3,2,3,0,4,3,2,2.75,4,3,3
1,45,1,2,3,1,4,3,3,3,4,4,3,2,2,3.5,0,4,2,2,2.5,2,7,8
1,45,0,2,2,1,1,3,2,2,3,3,2,3,3,3.75,0,4,3,3,3,3,7,6
1,35,1,1,5,4,3,4,1,2,3,2,2,2,2,3,1,4,3,1,3.25,3,7,0
1,50,1,2,4,1,3,4,3,2,3,4,1,3,4,3.25,0,3,3,3,3,3,7,7
0,40,0,2,4,1,1,3,2,1,2,3,2,3,3,3.5,0,3,2,2,3,3,10,1
1,53,1,2,4,1,3,4,2,2,3,3,2,4,3,2.5,1,5,1,2,3,3,0,0
0,48,1,2,5,1,4,4,1,2,3,2,3,5,5,1.5,0,3,5,5,4.5,5,0,0
0,41,1,2,4,1,4,4,1,2,2,3,3,5,5,2.75,0,3,4,4,4,4,0,0
0,31,1,2,4,1,4,4,1,2,4,5,2,5,5,2.5,1,4,5,5,3.25,5,0,10
1,36,1,2,5,1,4,3,1,2,2,2,2,4,4,2,0,3,4,4,4,4,8,0
0,45,1,2,5,1,4,3,1,2,3,4,2,5,5,1.5,1,4,4,4,3.5,5,2,0
0,35,1,1,5,1,3,5,1,2,3,4,2,3,3,3.5,0,5,3,3,2.5,3,1,1
1,33,1,1,4,1,2,5,1,2,1,4,3,3,3,4.25,1,3,1,1,2,3,10,10
0,40,1,2,5,1,4,4,1,2,4,4,1,3,3,2.75,1,3,3,3,3,4,0,0
0,40,1,2,5,1,4,3,2,2,3,3,2,3,4,3.5,1,5,2,1,2.25,3,10,6
0,37,1,2,4,1,3,3,1,2,3,4,2,4,4,3.5,1,4,3,3,3.5,4,2,0
1,33,1,1,4,1,5,3,1,2,3,4,2,1,1,5,0,5,1,1,2,4,0,0
0,36,0,3,2,3,1,4,1,2,4,5,2,3,4,2,0,5,3,3,2.75,5,0,0
0,30,1,1,4,3,3,3,1,2,3,4,2,4,4,2.75,0,4,3,3,3.25,5,6,5
0,36,1,2,5,1,4,4,2,2,3,4,2,4,4,2.5,0,4,4,3,3.75,4,4,0
1,40,1,2,5,1,4,4,1,2,2,4,2,4,4,2.75,0,4,4,4,3.5,4,2,2
1,36,1,2,5,1,5,2,2,2,3,4,2,4,4,2.25,1,4,3,4,3.25,4,4,8
0,35,1,2,4,1,3,4,1,2,3,3,2,3,3,3,0,5,3,3,3,3,6,0
0,31,1,1,4,1,2,3,1,1,4,4,3,3,3,3.25,1,4,3,3,3.5,3,6,4
0,48,1,3,4,2,3,4,2,2,4,5,2,5,5,1.75,0,2,5,3,3.25,4,4,3
0,42,1,2,5,1,5,4,1,2,3,3,3,4,4,2.5,1,4,2,2,3.75,4,8,0
1,55,1,2,2,2,3,3,2,3,4,4,2,4,4,3.25,0,4,3,3,3,4,7,6
0,53,1,3,4,1,3,4,1,2,2,3,2,4,3,1.25,0,1,3,3,2,3,9,0
0,41,1,2,5,1,4,4,1,2,3,3,2,4,4,3.5,1,3,1,2,3,3,4,0
1,41,1,2,5,1,3,5,1,2,4,1,2,2,2,2.75,0,4,2,1,1.75,4,10,1
1,28,1,2,5,1,3,4,1,2,2,3,1,2,1,3.75,1,4,2,1,2,4,8,2
1,34,1,2,5,1,4,4,2,2,4,5,2,3,4,2.25,0,3,3,3,3,3,7,4
0,47,1,2,4,1,4,3,1,2,1,3,2,4,3,1.75,1,4,3,3,3,3,0,0
1,32,1,2,5,1,3,4,1,2,3,5,2,5,5,2,1,3,3,3,4,5,10,0
0,35,1,2,5,1,4,3,2,2,3,4,2,3,3,3,1,3,3,3,3,3,5,2
0,30,1,2,5,1,3,3,1,2,3,4,2,3,3,3,1,4,2,4,3,4,0,0
1,38,1,1,5,1,4,4,1,2,2,1,2,5,5,1,0,1,5,5,5,5,1,0
0,36,1,2,5,1,4,4,1,2,3,3,2,5,5,2.5,1,4,3,4,3.5,5,1,0
1,41,1,2,5,1,5,4,2,1,2,3,2,5,5,2.5,0,1,4,3,4,4,0,0
0,37,0,2,2,2,1,2,3,2,5,5,2,3,3,4,1,4,3,3,3,3,2,2
1,55,0,2,2,1,3,4,2,2,2,3,2,5,5,2.75,0,4,5,5,4,5,6,2
0,28,0,1,4,4,1,4,1,2,4,4,2,4,4,3.5,0,4,3,3,3,4,2,2
1,49,0,2,4,1,2,5,1,2,4,1,3,5,5,2.75,0,3,5,5,4.25,5,10,10
1,42,1,2,5,1,4,3,2,2,3,3,2,3,3,3.25,1,3,3,3,2.75,3,10,4
1,35,1,2,4,2,2,4,1,2,4,4,2,3,3,3,1,4,2,3,3,3,7,6
1,37,1,2,4,1,2,2,2,2,2,4,2,5,5,2.25,1,3,3,4,1.5,5,0,0
0,35,1,2,5,1,5,4,1,2,3,2,2,4,4,2,0,3,2,4,2,3,8,1
0,54,1,2,3,2,2,3,3,2,4,4,2,4,4,1.75,0,4,1,3,3.25,4,2,0
0,36,1,2,5,1,4,4,1,2,3,4,2,3,3,3.5,1,3,3,3,3,4,2,2
0,51,0,2,2,2,2,5,2,2,3,4,2,4,4,3.5,0,4,3,3,3,4,2,3
0,48,1,2,5,1,4,4,1,2,3,3,2,5,5,2.5,1,5,3,5,2.75,3,6,4
0,22,1,1,5,4,3,4,1,2,3,4,2,5,4,2.5,1,4,3,3,4.5,4,10,6
0,56,1,2,2,5,2,3,1,2,3,3,2,3,3,2,1,3,3,3,3,3,0,2
0,38,1,2,5,1,5,4,1,2,3,4,2,4,4,2.25,1,3,4,3,3.5,4,3,8
0,49,1,2,5,1,4,4,3,2,4,4,2,3,3,5,1,4,3,3,3,3,6,6
1,33,1,2,5,1,4,4,3,2,4,5,1,2,4,4.5,1,4,1,1,3.5,3,0,10
0,36,1,2,4,1,3,4,1,2,3,4,2,3,3,3,1,4,3,3,2.75,3,2,8
0,40,1,2,5,1,4,4,2,2,4,5,2,5,4,3,1,5,3,3,4,4,0,0
1,28,1,2,4,1,2,3,2,2,3,4,2,4,3,3,1,3,4,4,3.75,4,6,2
0,50,1,2,5,1,4,2,2,2,4,4,2,4,4,3,1,3,3,3,3,4,10,7
1,38,1,2,4,1,4,4,1,2,3,4,2,5,5,2.25,0,3,5,4,4.25,4,2,0
0,36,1,2,5,1,5,5,1,2,3,4,2,4,4,2.5,0,4,3,4,3.75,4,9,6
1,43,1,2,5,1,3,3,1,2,3,4,1,3,3,2.25,1,3,3,3,2,3,0,6
0,20,1,1,4,4,3,5,1,2,2,4,2,5,5,2.75,1,5,3,4,3.75,5,4,7
1,52,1,2,5,1,5,3,2,2,2,3,2,3,3,3,0,3,3,3,3,4,6,4
0,30,1,2,4,3,2,4,1,2,3,4,2,3,3,2.75,0,4,3,3,2.5,3,10,6
1,33,1,2,5,1,3,4,1,2,3,3,2,3,3,3,0,3,3,3,3,3,4,4
0,45,0,2,4,2,2,4,2,2,2,5,2,5,5,2.5,1,3,4,4,4,4,0,4
0,40,1,2,5,1,4,2,2,2,4,4,2,4,4,3.5,1,3,2,4,3,4,4,3
0,42,1,2,5,1,4,4,1,1,2,3,2,3,3,3,0,4,3,3,3,3,10,0
0,41,0,2,2,3,1,4,1,2,3,4,3,5,5,2.5,0,3,4,4,3.25,5,1,5
0,33,1,2,5,1,5,4,1,2,3,1,2,4,4,2.5,1,4,2,2,2.5,4,6,2
1,25,0,1,5,4,3,4,1,2,2,1,3,5,5,1.5,0,4,5,5,4.5,5,1,0
1,41,1,3,4,1,1,4,1,2,3,3,1,1,1,4.25,0,5,1,1,2.5,4,10,0
0,37,1,2,5,1,4,3,1,2,3,4,2,4,4,2.5,1,4,2,2,3.5,4,8,6
0,38,1,2,5,1,3,2,2,2,3,3,2,5,5,1.5,1,3,3,3,3,5,0,0
0,47,1,2,5,1,3,4,1,1,3,3,2,4,4,3,0,4,3,4,3.75,4,8,6
1,50,1,2,3,1,4,5,2,2,2,1,1,4,3,2.75,1,1,4,3,3,3,9,3
0,36,1,2,4,1,5,3,2,2,3,3,2,4,4,2,1,3,3,3,3.5,4,3,1
0,42,1,2,5,1,3,2,3,2,2,3,2,2,2,2,1,3,4,4,2.75,4,6,1
0,50,1,2,4,1,5,3,3,1,3,5,3,5,2,3.75,0,4,3,5,2.5,4,1,10
1,40,1,2,5,1,5,4,1,2,4,4,2,3,3,3.25,1,4,3,2,2.25,4,6,7
1,42,1,2,4,1,4,3,1,2,4,4,2,3,3,2,1,4,3,3,2,3,6,2
0,37,1,2,5,1,5,4,1,2,2,4,2,4,4,3.5,0,4,3,4,4,4,8,6
0,50,1,2,5,1,4,4,2,2,2,4,2,4,4,1.5,0,3,4,4,3.75,4,4,1
0,40,1,2,5,1,5,3,2,2,3,4,2,4,4,3.75,1,3,4,4,3.75,4,4,2
0,54,0,2,1,5,1,3,2,2,3,3,2,3,3,2.5,0,4,3,2,2,4,10,8
0,44,1,2,5,1,5,3,1,2,3,5,2,5,5,1,1,5,5,5,4,5,5,6
1,38,1,2,4,1,4,4,1,2,2,2,2,4,4,3.75,0,4,3,3,3,4,10,6
0,43,1,2,5,1,5,4,1,2,3,4,2,5,5,1.75,1,5,4,4,3.75,4,1,1
1,42,1,2,5,1,3,4,2,2,2,2,2,4,4,3,0,3,4,4,3,4,8,1
0,35,1,2,3,1,1,3,3,2,3,4,2,3,3,2.25,0,3,2,2,2.25,3,6,7
1,33,1,2,4,1,3,4,2,2,3,3,2,3,2,3.5,1,4,3,3,2.5,3,8,7
0,32,1,1,5,1,4,4,1,1,3,4,2,4,4,3.25,1,5,3,3,3.25,4,4,5
0,42,1,2,4,1,4,4,1,2,2,3,2,4,4,2.5,0,3,1,1,3.5,4,4,2
1,47,1,2,5,1,4,4,1,2,2,2,2,3,3,2.25,0,3,2,2,1.5,3,8,1
0,27,0,1,5,1,1,2,1,2,2,2,2,3,3,3,1,5,3,3,3,3,4,8
1,24,0,1,4,1,3,2,1,2,4,4,2,3,3,3.5,1,4,1,3,3,3,9,2
1,36,1,2,5,1,3,3,2,2,2,2,2,4,4,2.75,1,4,4,4,3,4,6,0
0,38,0,2,3,3,1,3,1,2,4,3,2,3,4,1.5,0,3,4,4,3.5,4,10,6
1,32,1,2,5,1,3,3,2,2,4,3,2,4,2,4,0,4,4,4,3,5,9,0
0,34,1,2,4,1,2,3,1,2,2,4,2,3,2,3,1,3,3,3,3,3,10,1
1,28,1,1,5,1,3,4,1,2,4,4,3,5,5,1.25,0,4,3,4,3,5,6,2
0,39,1,2,5,1,4,4,1,2,3,3,2,4,4,2.5,0,3,4,4,3,4,9,5
0,38,1,2,5,1,4,3,1,2,3,4,2,3,4,1.5,1,4,3,3,3.5,4,3,4
1,34,1,2,5,1,4,5,1,2,2,4,2,3,3,3,1,3,2,1,3,4,0,0
1,41,1,2,4,1,5,4,3,2,3,4,2,4,4,2.25,1,4,4,4,3.25,4,2,0
1,58,0,2,2,3,2,4,1,2,1,4,2,4,5,1.75,0,4,5,4,4,4,0,0
0,34,1,2,4,1,3,4,1,2,3,3,2,4,4,4,1,5,2,4,2.75,3,7,1
0,33,1,1,5,1,4,4,1,2,1,1,3,5,5,1.75,1,4,3,4,3.25,5,8,0
0,39,1,2,5,1,5,3,1,2,5,5,3,4,4,3.5,1,4,3,2,2.5,4,0,5
1,37,1,2,5,1,3,4,1,2,2,1,2,4,4,3,0,3,3,4,3,4,0,0
