gender,age,resident,Marriage,Education,Employment,Income,Heathstatus,Chronic disease,whether had COVID-19,cognitiverisk,personalFear,misInformation,trust central Government,trust local Government,social fear,panic Buying,social support,trust health experts,trust health Authorities,trust medical Resource,trust health worker,Pandemic fatigue,cognitive dissonance
1,61,1,2,2,5,3,1,1,1,1,5,2,3,1,2.5,0,3,1,3,1,1,1.3,10
0,62,1,3,3,5,1,4,1,1,3,4,2,4,4,3.25,0,4,4,4,2.25,4,0,4
1,62,1,2,2,5,1,3,1,2,3,5,2,3,3,3.5,1,3,3,3,2.75,3,1,4.6
0,60,1,2,2,5,1,3,1,1,2,3,2,3,2,2.5,0,3,2,1,1.75,4,4.3,1.9
0,70,1,2,3,5,1,3,3,2,3,4,2,3,3,2.5,0,4,3,3,2,3,6.6,8.8
0,29,1,2,4,1,1,4,1,2,3,4,2,4,3,3.25,1,3,4,3,3,3,8.6,4.1
1,30,1,1,4,1,5,3,1,2,2,3,2,3,3,4.5,0,2,1,1,2.5,4,9.8,8.1
0,60,1,2,4,1,2,4,1,2,3,5,1,2,2,2,0,4,2,2,1.75,5,0,2.5
0,60,1,2,2,5,2,3,2,2,3,5,2,4,3,2,0,4,2,3,2.5,4,6.4,7.5
0,45,1,2,2,1,2,4,1,2,2,4,2,5,5,1.25,0,2,5,5,2.75,5,2.2,4
0,34,0,2,4,1,3,4,1,2,3,4,2,4,3,2.75,0,4,2,3,2,3,2,2
1,32,1,2,4,2,4,2,2,2,5,5,1,1,1,3.75,0,3,2,2,2,3,10,6.1
1,30,0,1,4,1,2,3,1,2,3,5,2,3,3,2.75,1,5,2,4,2.75,4,6,0
1,33,1,2,3,1,4,4,2,2,3,5,3,4,4,3,0,3,3,4,3.5,4,8.1,10
1,35,1,1,4,1,5,3,1,2,3,5,2,5,5,2.25,1,3,3,3,2.75,5,1.4,7.1
0,55,0,2,2,5,2,3,2,2,3,3,2,4,4,3.25,0,4,2,4,2.5,4,1.7,7
1,33,0,2,4,2,4,3,3,2,4,4,2,3,3,3,0,3,1,1,1,1,10,6.5
1,57,0,2,2,2,2,2,2,2,4,2,2,3,3,3,0,3,3,4,2.5,4,2.1,2.3
0,29,1,2,4,2,3,3,1,2,3,4,2,3,3,2.75,0,3,3,3,3,3,0,0
1,60,1,2,4,5,3,2,3,2,2,1,1,3,3,2.25,0,1,3,3,2,3,8.3,6
1,54,1,2,1,1,2,4,1,1,1,2,2,4,4,1.5,0,2,4,4,3,4,3,2
0,54,1,2,1,2,2,4,1,2,2,4,2,4,4,1.75,0,3,4,4,3,4,4.1,2
1,33,0,2,4,1,2,4,1,2,2,3,2,4,4,1.5,1,3,3,4,2.25,4,2,1
1,28,1,1,4,1,1,4,2,2,2,4,2,4,3,1.75,1,2,3,4,3.75,4,2,2
0,54,1,2,2,5,3,3,1,2,3,3,2,5,5,1,1,4,4,4,3.75,5,2.7,2.3
1,29,1,1,4,2,2,4,1,2,3,3,2,4,4,1.5,0,3,4,4,3,4,6.2,9
0,48,1,2,2,2,4,4,1,2,3,5,3,4,3,2.5,0,3,5,3,2,3,6,8
1,62,1,2,2,3,1,5,1,1,3,3,2,5,5,1.25,0,3,5,4,4,4,2.1,2.5
